time_s,injected_signal,noisy_strain
0.00000000,0.011784918,0.479418266
0.00390625,0.020787364,-0.111783418
0.00781250,0.024882158,0.103854082
0.01171875,0.023100981,0.052405270
0.01562500,0.015861280,0.182890996
0.01953125,0.004869145,-0.275552812
0.02343750,-0.007281443,-0.090237024
0.02734375,-0.017719272,-0.168011302
0.03125000,-0.023973199,-0.238899748
0.03515625,-0.024556786,-0.193322548
0.03906250,-0.019322177,-0.121813053
0.04296875,-0.009498949,-0.066857705
0.04687500,0.002592545,-0.178748232
0.05078125,0.014087097,0.098489490
0.05468750,0.022252048,-0.087249970
0.05859375,0.025136559,-0.614424678
0.06250000,0.022038753,0.260175625
0.06640625,0.013678747,-0.064697876
0.07031250,0.002034466,-0.146635998
0.07421875,-0.010123171,0.043555401
0.07812500,-0.019887364,0.026099225
0.08203125,-0.024909729,-0.014349719
0.08593750,-0.023966301,-0.194858971
0.08984375,-0.017258721,0.021059994
0.09375000,-0.006375911,-0.313863695
0.09765625,0.006077966,0.294773968
0.10156250,0.017103342,-0.236005774
0.10546875,0.024026332,-0.017290327
0.10937500,0.025148276,0.028975567
0.11328125,0.020165898,0.063951000
0.11718750,0.010257510,-0.039059901
0.12109375,-0.002189906,0.094386454
0.12500000,-0.014151096,-0.741089730
0.12890625,-0.022695446,-0.069457100
0.13281250,-0.025705664,-0.083600853
0.13671875,-0.022406084,-0.135119340
0.14062500,-0.013568082,0.266564459
0.14453125,-0.001337132,-0.222685606
0.14843750,0.011281847,-0.031332316
0.15234375,0.021159143,-0.412254873
0.15625000,0.025816465,0.054381601
0.16015625,0.024052491,-0.327998319
0.16406250,0.016259208,-0.325405704
0.16796875,0.004344419,0.451817114
0.17187500,-0.008727393,0.106471049
0.17578125,-0.019667610,-0.047783328
0.17968750,-0.025689989,-0.017716648
0.18359375,-0.025223972,-0.342083692
0.18750000,-0.018331567,-0.257028608
0.19140625,-0.006715647,0.052327554
0.19531250,0.006690995,-0.447432802
0.19921875,0.018459511,0.046990677
0.20312500,0.025540198,-0.351916040
0.20703125,0.026056497,0.024061791
0.21093750,0.019810499,-0.231825111
0.21484375,0.008362111,0.337336511
0.21875000,-0.005348724,0.174299936
0.22265625,-0.017748774,-0.148788238
0.22656250,-0.025560149,-0.435340741
0.23046875,-0.026670613,-0.212329658
0.23437500,-0.020713974,-0.058599867
0.23828125,-0.009199131,-0.237019220
0.24218750,0.004858195,0.036081486
0.24609375,0.017715489,0.192154834
0.25000000,0.025896591,-0.011658851
0.25390625,0.027135818,-0.087398123
0.25781250,0.021016040,0.153337061
0.26171875,0.009118761,-0.077276603
0.26562500,-0.005368447,0.140772841
0.26953125,-0.018494830,-0.109473852
0.27343750,-0.026620456,0.275246582
0.27734375,-0.027430916,-0.110294379
0.28125000,-0.020609055,-0.262066024
0.28515625,-0.007966042,-0.014413534
0.28906250,0.007021253,-0.147598414
0.29296875,0.020154383,-0.196687906
0.29687500,0.027686660,-0.024036487
0.30078125,0.027399344,0.153739730
0.30468750,0.019270271,-0.445942185
0.30859375,0.005530080,-0.029294258
